============================================================
Nights with ≥3 stars available (good for 2-3 day observing runs):
============================================================
  2027-03-08  (Mar): 4 stars — 328668, 328669, 347422, 349382
  2027-03-09  (Mar): 4 stars — 328668, 328669, 347422, 349382
  2027-03-10  (Mar): 4 stars — 328668, 328669, 347422, 349382
  2027-03-11  (Mar): 4 stars — 328668, 328669, 347422, 349382
  2027-03-12  (Mar): 4 stars — 328668, 328669, 347422, 349382
  2027-03-13  (Mar): 4 stars — 328668, 328669, 347422, 349382
  2027-03-14  (Mar): 4 stars — 328668, 328669, 347422, 349382
  2027-03-15  (Mar): 5 stars — 328668, 328669, 340647, 347422, 349382
  2027-03-16  (Mar): 6 stars — 328668, 328669, 340647, 347422, 349382, 350658
  2027-03-17  (Mar): 5 stars — 328668, 328669, 347422, 349382, 350658
  2027-03-18  (Mar): 5 stars — 328668, 328669, 347422, 349382, 350658
  2027-03-19  (Mar): 5 stars — 328668, 328669, 340647, 347422, 349382
  2027-03-20  (Mar): 7 stars — 328668, 328669, 340647, 347422, 349382, 391621, 391622
  2027-03-21  (Mar): 7 stars — 328668, 328669, 340647, 347422, 349382, 391621, 391622
  2027-03-22  (Mar): 7 stars — 328668, 328669, 340647, 347422, 349382, 391621, 391622
  2027-03-23  (Mar): 7 stars — 328668, 328669, 340647, 347422, 349382, 391621, 391622
  2027-03-24  (Mar): 8 stars — 328668, 328669, 340647, 347409, 347422, 349382, 391621, 391622
  2027-03-25  (Mar): 9 stars — 328668, 328669, 340636, 340647, 347409, 347422, 349382, 390148, 391622
  2027-03-26  (Mar): 6 stars — 328669, 340636, 340647, 347409, 347422, 349382
  2027-03-27  (Mar): 6 stars — 328669, 340636, 340647, 347409, 347422, 349382
  2027-03-28  (Mar): 6 stars — 328669, 340636, 340646, 340647, 347422, 349382
  2027-03-29  (Mar): 5 stars — 340636, 340646, 340647, 347422, 349382
  2027-03-30  (Mar): 6 stars — 340636, 340646, 340647, 347422, 349382, 473126
  2027-03-31  (Mar): 7 stars — 340251, 340636, 340646, 340647, 347422, 349382, 473126
  2027-04-01  (Apr): 9 stars — 327341, 336615, 340251, 340636, 340646, 340647, 347422, 349382, 473126
  2027-04-02  (Apr): 9 stars — 327341, 336615, 340251, 340636, 340646, 340647, 347422, 349382, 473126
  2027-04-03  (Apr): 10 stars — 327341, 336615, 340251, 340636, 340646, 340647, 347422, 349382, 473126, 475111
  2027-04-04  (Apr): 11 stars — 327341, 336615, 340251, 340636, 340646, 340647, 340867, 347422, 349382, 473126, 475111
  2027-04-05  (Apr): 11 stars — 327341, 336615, 340251, 340636, 340646, 340647, 340867, 347422, 349382, 473126, 475111
  2027-04-06  (Apr): 12 stars — 327341, 336615, 340251, 340253, 340636, 340646, 340647, 340867, 347422, 349382, 473126, 475111
  2027-04-07  (Apr): 12 stars — 327341, 336615, 340251, 340253, 340636, 340646, 340647, 340867, 347422, 349382, 473126, 475111
  2027-04-08  (Apr): 12 stars — 327341, 336615, 340251, 340253, 340636, 340646, 340647, 340867, 347422, 349382, 473126, 475111
  2027-04-09  (Apr): 12 stars — 327341, 336615, 340251, 340253, 340636, 340646, 340647, 340867, 347422, 349382, 473126, 475111
  2027-04-10  (Apr): 12 stars — 327341, 336615, 340251, 340253, 340636, 340646, 340647, 340867, 347422, 349382, 473126, 475111
  2027-04-11  (Apr): 11 stars — 327341, 336615, 340251, 340253, 340646, 340647, 340867, 347422, 349382, 473126, 475111
  2027-04-12  (Apr): 11 stars — 327341, 336615, 340251, 340253, 340646, 340647, 340867, 347422, 349382, 473126, 475111
  2027-04-13  (Apr): 11 stars — 327341, 336615, 340251, 340253, 340646, 340647, 340867, 347422, 349382, 473126, 475111
  2027-04-14  (Apr): 11 stars — 327341, 336615, 340251, 340253, 340646, 340647, 340867, 347422, 349382, 473126, 475111
  2027-04-15  (Apr): 11 stars — 327341, 336615, 340251, 340253, 340646, 340647, 340867, 347422, 349382, 473126, 475111
  2027-04-16  (Apr): 11 stars — 327341, 336615, 340251, 340253, 340646, 340647, 340867, 347422, 349382, 473126, 475111
